id;train_loss;train_acc;val_acc
0;1.941000;0.062500;-1.000000
1;1.930313;0.187500;-1.000000
2;1.917283;0.468750;-1.000000
3;1.909105;0.437500;-1.000000
4;1.902638;0.531250;-1.000000
5;1.910047;0.468750;-1.000000
6;1.881130;0.562500;-1.000000
7;1.878286;0.531250;-1.000000
8;1.892925;0.343750;-1.000000
9;1.861007;0.625000;-1.000000
10;1.880057;0.406250;-1.000000
11;1.860410;0.500000;-1.000000
12;1.855924;0.500000;-1.000000
13;1.841183;0.531250;-1.000000
14;1.800399;0.562500;-1.000000
15;1.888301;0.468750;-1.000000
16;1.835982;0.500000;-1.000000
17;1.826771;0.468750;-1.000000
18;1.813065;0.468750;-1.000000
19;1.825265;0.500000;-1.000000
20;1.816406;0.437500;-1.000000
21;1.848464;0.437500;-1.000000
22;1.814061;0.437500;-1.000000
23;1.807873;0.406250;-1.000000
24;1.793423;0.437500;-1.000000
25;1.757885;0.593750;-1.000000
26;1.904567;0.250000;-1.000000
27;1.732646;0.468750;-1.000000
28;1.780989;0.406250;-1.000000
29;1.768102;0.500000;-1.000000
30;1.722184;0.562500;-1.000000
31;1.735262;0.500000;-1.000000
32;1.729745;0.468750;-1.000000
33;1.751483;0.562500;-1.000000
34;1.780132;0.531250;-1.000000
35;1.739487;0.437500;-1.000000
36;1.731456;0.500000;-1.000000
37;1.661638;0.562500;-1.000000
38;1.671692;0.538462;-1.000000
39;1.711201;0.437500;-1.000000
40;1.773165;0.343750;-1.000000
41;1.612256;0.562500;-1.000000
42;1.714376;0.437500;-1.000000
43;1.656620;0.531250;-1.000000
44;1.704991;0.468750;-1.000000
45;1.623249;0.562500;-1.000000
46;1.650061;0.531250;-1.000000
47;1.741067;0.343750;-1.000000
48;1.558550;0.625000;-1.000000
49;1.685924;0.406250;-1.000000
50;1.625047;0.500000;-1.000000
51;1.611521;0.500000;-1.000000
52;1.593186;0.531250;-1.000000
53;1.461045;0.562500;-1.000000
54;1.766996;0.468750;-1.000000
55;1.613874;0.500000;-1.000000
56;1.605784;0.468750;-1.000000
57;1.549134;0.468750;-1.000000
58;1.600086;0.500000;-1.000000
59;1.630292;0.437500;-1.000000
60;1.707481;0.437500;-1.000000
61;1.613573;0.437500;-1.000000
62;1.597897;0.406250;-1.000000
63;1.582119;0.437500;-1.000000
64;1.483438;0.593750;-1.000000
65;1.918196;0.250000;-1.000000
66;1.490386;0.468750;-1.000000
67;1.568007;0.406250;-1.000000
68;1.560601;0.500000;-1.000000
69;1.473867;0.562500;-1.000000
70;1.529361;0.500000;-1.000000
71;1.524661;0.468750;-1.000000
72;1.548653;0.562500;-1.000000
73;1.617490;0.531250;-1.000000
74;1.611802;0.437500;-1.000000
75;1.595125;0.500000;-1.000000
76;1.441123;0.562500;-1.000000
77;1.453138;0.538462;-1.000000
78;1.555418;0.437500;-1.000000
79;1.727197;0.343750;-1.000000
80;1.382133;0.562500;-1.000000
81;1.599635;0.437500;-1.000000
82;1.495756;0.531250;-1.000000
83;1.576220;0.468750;-1.000000
84;1.466300;0.562500;-1.000000
85;1.539350;0.531250;-1.000000
86;1.712537;0.343750;-1.000000
87;1.342469;0.625000;-1.000000
88;1.582649;0.406250;-1.000000
89;1.524007;0.500000;-1.000000
90;1.498965;0.500000;-1.000000
91;1.485602;0.531250;-1.000000
92;1.299615;0.562500;-1.000000
93;1.753946;0.468750;-1.000000
94;1.551009;0.500000;-1.000000
95;1.518427;0.468750;-1.000000
96;1.430785;0.468750;-1.000000
97;1.509334;0.500000;-1.000000
98;1.606053;0.437500;-1.000000
99;1.685384;0.437500;-1.000000
100;1.534575;0.437500;-1.000000
101;1.518474;0.406250;-1.000000
102;1.501665;0.437500;-1.000000
103;1.390993;0.593750;-1.000000
104;1.964293;0.250000;-1.000000
105;1.434553;0.468750;-1.000000
106;1.498954;0.406250;-1.000000
107;1.502758;0.500000;-1.000000
108;1.398728;0.562500;-1.000000
109;1.489661;0.500000;-1.000000
110;1.507860;0.468750;-1.000000
111;1.481780;0.562500;-1.000000
112;1.584153;0.531250;-1.000000
113;1.570449;0.437500;-1.000000
114;1.581848;0.500000;-1.000000
115;1.394737;0.562500;-1.000000
116;1.430812;0.538462;-1.000000
117;1.516495;0.437500;-1.000000
