id;train_loss;train_acc;val_acc
0;1.465290;0.506916;0.579545
1;1.340857;0.545159;0.579545
2;1.271822;0.563873;0.579545
3;1.217042;0.567128;0.606061
4;1.166261;0.584215;0.590909
5;1.137145;0.593165;0.613636
6;1.107386;0.626526;0.621212
7;1.048300;0.626526;0.632576
8;1.007820;0.651749;0.636364
9;0.995700;0.637103;0.640152
10;0.938032;0.672091;0.655303
11;0.933107;0.668836;0.651515
12;0.906803;0.663954;0.659091
13;0.878001;0.678600;0.662879
14;0.841011;0.692433;0.678030
15;0.810111;0.703824;0.674242
16;0.796198;0.703011;0.670455
17;0.777760;0.711961;0.678030
18;0.742852;0.736371;0.678030
19;0.715931;0.735557;0.678030
20;0.710466;0.729048;0.681818
21;0.664853;0.753458;0.681818
22;0.648823;0.768104;0.693182
23;0.604483;0.793328;0.693182
24;0.589064;0.787632;0.693182
25;0.564970;0.787632;0.712121
26;0.547693;0.798210;0.693182
27;0.525101;0.814483;0.723485
28;0.520793;0.803906;0.685606
29;0.485775;0.829129;0.696970
30;0.475211;0.837266;0.719697
31;0.449284;0.840521;0.685606
32;0.436308;0.846216;0.700758
33;0.401914;0.852726;0.715909
34;0.395805;0.861676;0.704545
35;0.390605;0.863303;0.704545
36;0.359648;0.877950;0.727273
37;0.354173;0.868186;0.727273
38;0.343237;0.885273;0.704545
39;0.339162;0.875509;0.715909
40;0.296825;0.895850;0.750000
41;0.295924;0.896664;0.704545
42;0.304482;0.884459;0.700758
43;0.258680;0.908055;0.731061
44;0.264517;0.905614;0.742424
45;0.255521;0.912937;0.712121
46;0.244066;0.916192;0.761364
47;0.232866;0.926770;0.742424
48;0.227404;0.925142;0.731061
49;0.208285;0.929211;0.734848
50;0.206559;0.934093;0.750000
51;0.201699;0.929211;0.768939
52;0.179997;0.940602;0.757576
53;0.183115;0.940602;0.742424
54;0.162345;0.954434;0.742424
55;0.155547;0.949552;0.742424
56;0.143073;0.956062;0.750000
57;0.158809;0.949552;0.768939
58;0.134405;0.960130;0.768939
59;0.145264;0.955248;0.776515
60;0.118977;0.961758;0.780303
61;0.127091;0.954434;0.761364
62;0.118667;0.954434;0.765152
63;0.120236;0.959317;0.757576
64;0.118452;0.960130;0.765152
65;0.111722;0.965826;0.757576
66;0.096701;0.971522;0.776515
67;0.096714;0.965826;0.742424
68;0.089715;0.975590;0.784091
69;0.093180;0.970708;0.780303
70;0.084463;0.972335;0.765152
71;0.101049;0.971522;0.784091
72;0.087735;0.972335;0.768939
73;0.070834;0.976404;0.750000
74;0.074586;0.977217;0.784091
75;0.072615;0.976404;0.746212
76;0.078656;0.976404;0.772727
77;0.062568;0.982099;0.757576
78;0.067969;0.982913;0.761364
79;0.072164;0.979658;0.761364
80;0.050335;0.987795;0.772727
81;0.054164;0.986981;0.757576
82;0.058323;0.988609;0.784091
83;0.061601;0.983727;0.757576
84;0.056387;0.983727;0.765152
85;0.050628;0.991050;0.780303
86;0.047936;0.988609;0.765152
87;0.050564;0.989422;0.784091
88;0.044077;0.988609;0.761364
89;0.041049;0.991863;0.780303
90;0.036613;0.991863;0.768939
91;0.044954;0.986981;0.787879
92;0.039512;0.991863;0.784091
93;0.038962;0.986168;0.738636
94;0.053919;0.982913;0.772727
95;0.036465;0.994304;0.761364
96;0.037570;0.991863;0.753788
97;0.029021;0.991863;0.776515
98;0.035284;0.991050;0.765152
99;0.031318;0.994304;0.765152
100;0.034466;0.993491;0.776515
101;0.033065;0.992677;0.772727
102;0.047271;0.984540;0.784091
103;0.026387;0.995932;0.776515
104;0.030906;0.989422;0.768939
105;0.045376;0.988609;0.791667
106;0.018317;0.996745;0.776515
107;0.027601;0.994304;0.765152
108;0.021971;0.995932;0.776515
109;0.030271;0.991863;0.765152
110;0.020407;0.995932;0.768939
111;0.030353;0.992677;0.772727
112;0.021905;0.995932;0.772727
113;0.036449;0.992677;0.780303
114;0.024321;0.992677;0.780303
115;0.025719;0.992677;0.784091
116;0.017739;0.996745;0.768939
117;0.030168;0.994304;0.791667
118;0.019114;0.995932;0.757576
119;0.015569;0.997559;0.768939
120;0.025541;0.995118;0.768939
121;0.015334;0.996745;0.768939
122;0.044392;0.991863;0.772727
123;0.016478;0.999186;0.791667
124;0.020598;0.995118;0.772727
125;0.023115;0.993491;0.780303
126;0.016569;0.994304;0.776515
127;0.008038;0.999186;0.746212
128;0.018688;0.994304;0.791667
129;0.031067;0.994304;0.780303
130;0.025337;0.993491;0.787879
131;0.020314;0.993491;0.757576
132;0.024216;0.993491;0.787879
133;0.008441;0.998373;0.768939
134;0.013982;0.995932;0.787879
135;0.022401;0.991050;0.810606
136;0.007973;0.999186;0.795455
137;0.016597;0.995118;0.772727
138;0.014359;0.999186;0.780303
139;0.020492;0.995932;0.780303
140;0.009646;0.998373;0.776515
141;0.004863;1.000000;0.765152
142;0.015050;0.993491;0.791667
143;0.024407;0.994304;0.780303
144;0.017572;0.996745;0.780303
145;0.020785;0.994304;0.750000
146;0.009568;0.996745;0.795455
147;0.017440;0.999186;0.772727
148;0.024619;0.993491;0.791667
149;0.011424;0.995932;0.791667
150;0.021233;0.995118;0.784091
151;0.017735;0.995118;0.772727
152;0.008115;0.998373;0.780303
153;0.015417;0.995118;0.799242
154;0.013279;0.996745;0.734848
155;0.010266;0.996745;0.787879
156;0.004654;0.999186;0.787879
157;0.008090;0.996745;0.799242
158;0.006149;0.999186;0.776515
159;0.009038;0.996745;0.780303
160;0.015109;0.995932;0.787879
161;0.012958;0.996745;0.787879
162;0.005792;0.999186;0.780303
163;0.002602;1.000000;0.787879
164;0.009072;0.995932;0.784091
165;0.003643;0.999186;0.795455
166;0.002023;1.000000;0.799242
167;0.008282;0.998373;0.780303
168;0.016164;0.996745;0.780303
169;0.003497;0.999186;0.787879
170;0.016795;0.993491;0.772727
171;0.021027;0.995932;0.776515
172;0.005921;0.997559;0.787879
173;0.009282;0.996745;0.784091
174;0.004973;0.999186;0.780303
175;0.006310;0.998373;0.784091
176;0.006708;0.997559;0.784091
177;0.004531;0.998373;0.795455
178;0.005291;0.998373;0.799242
179;0.016376;0.995118;0.784091
180;0.004232;0.998373;0.784091
181;0.012934;0.995932;0.795455
182;0.003108;0.998373;0.795455
183;0.003274;0.999186;0.806818
184;0.001859;1.000000;0.784091
185;0.005413;0.999186;0.780303
186;0.018905;0.996745;0.776515
187;0.011881;0.996745;0.787879
188;0.005819;0.997559;0.795455
189;0.008175;0.996745;0.784091
190;0.004008;0.998373;0.780303
191;0.004612;0.999186;0.803030
192;0.003610;0.999186;0.784091
193;0.007109;0.998373;0.799242
194;0.010757;0.997559;0.799242
195;0.008848;0.996745;0.795455
196;0.000742;1.000000;0.787879
197;0.001632;1.000000;0.780303
198;0.003987;0.998373;0.784091
199;0.006917;0.996745;0.795455
200;0.011576;0.996745;0.799242
201;0.002604;0.999186;0.803030
202;0.001501;1.000000;0.799242
203;0.002942;0.998373;0.787879
204;0.014258;0.995932;0.799242
205;0.000715;1.000000;0.791667
206;0.015331;0.999186;0.791667
207;0.005708;0.998373;0.799242
208;0.000768;1.000000;0.791667
209;0.001228;1.000000;0.784091
210;0.006226;0.998373;0.776515
211;0.012926;0.995932;0.806818
