id;train_loss;train_acc;val_acc
0;2.024251;0.187500;-1.000000
1;2.039174;0.250000;-1.000000
2;1.750317;0.250000;-1.000000
3;1.925667;0.218750;-1.000000
4;1.645233;0.312500;-1.000000
5;1.643110;0.406250;-1.000000
6;1.760481;0.406250;-1.000000
7;1.817152;0.531250;-1.000000
8;1.969286;0.375000;-1.000000
9;1.520512;0.468750;-1.000000
10;1.604594;0.500000;-1.000000
11;1.650490;0.375000;-1.000000
12;1.696873;0.437500;-1.000000
13;1.821774;0.437500;-1.000000
14;1.189838;0.531250;-1.000000
15;1.769572;0.468750;-1.000000
16;1.739989;0.343750;-1.000000
17;1.450383;0.531250;-1.000000
18;1.557146;0.437500;-1.000000
19;1.443062;0.500000;-1.000000
20;1.608851;0.375000;-1.000000
21;1.851812;0.468750;-1.000000
22;1.408550;0.468750;-1.000000
23;1.389046;0.500000;-1.000000
24;1.623721;0.343750;-1.000000
25;1.362515;0.500000;-1.000000
26;1.916166;0.312500;-1.000000
27;1.400261;0.437500;-1.000000
28;1.448435;0.531250;-1.000000
29;1.616371;0.562500;-1.000000
30;1.696470;0.406250;-1.000000
31;1.525542;0.437500;-1.000000
32;1.632310;0.437500;-1.000000
33;1.306600;0.531250;-1.000000
34;1.374882;0.593750;-1.000000
35;1.635193;0.437500;-1.000000
36;1.637376;0.437500;-1.000000
37;1.260338;0.562500;-1.000000
38;1.198664;0.538462;-1.000000
39;1.406996;0.468750;-1.000000
40;1.861588;0.375000;-1.000000
41;1.344627;0.593750;-1.000000
42;1.512196;0.500000;-1.000000
43;1.319674;0.500000;-1.000000
44;1.346572;0.562500;-1.000000
45;1.393078;0.531250;-1.000000
46;1.529490;0.500000;-1.000000
47;1.843767;0.375000;-1.000000
48;1.163487;0.593750;-1.000000
49;1.263103;0.468750;-1.000000
50;1.474329;0.437500;-1.000000
51;1.426439;0.468750;-1.000000
52;1.265645;0.468750;-1.000000
53;1.076296;0.593750;-1.000000
54;1.503068;0.468750;-1.000000
55;1.425189;0.531250;-1.000000
56;1.526087;0.343750;-1.000000
57;1.216498;0.593750;-1.000000
58;1.231140;0.625000;-1.000000
59;1.232247;0.500000;-1.000000
60;1.467558;0.468750;-1.000000
61;1.413812;0.531250;-1.000000
62;1.570822;0.343750;-1.000000
63;1.301091;0.468750;-1.000000
64;1.427403;0.562500;-1.000000
65;1.585425;0.437500;-1.000000
66;1.461742;0.343750;-1.000000
67;1.232535;0.531250;-1.000000
68;1.282889;0.531250;-1.000000
69;1.187045;0.593750;-1.000000
70;1.218065;0.625000;-1.000000
71;1.310157;0.531250;-1.000000
72;1.249780;0.625000;-1.000000
73;1.062132;0.687500;-1.000000
74;1.248396;0.625000;-1.000000
75;1.242336;0.625000;-1.000000
76;1.254838;0.593750;-1.000000
77;1.078231;0.692308;-1.000000
78;1.517179;0.406250;-1.000000
79;1.548546;0.500000;-1.000000
80;1.231749;0.468750;-1.000000
81;1.399006;0.500000;-1.000000
82;1.107787;0.625000;-1.000000
83;1.247093;0.531250;-1.000000
84;1.095532;0.593750;-1.000000
85;1.329027;0.562500;-1.000000
86;1.616749;0.375000;-1.000000
