id;train_loss;train_acc;val_acc
0;1.613128;0.430431;0.609848
1;1.357840;0.518308;0.617424
2;1.261793;0.567128;0.613636
3;1.194004;0.581774;0.628788
4;1.132134;0.593979;0.632576
5;1.074174;0.618389;0.659091
6;1.007419;0.642799;0.670455
7;0.960191;0.652563;0.681818
8;0.917006;0.676159;0.685606
9;0.897981;0.677787;0.700758
10;0.872140;0.683483;0.708333
11;0.850670;0.698942;0.696970
12;0.815629;0.686737;0.715909
13;0.766411;0.732303;0.708333
14;0.735965;0.742067;0.731061
15;0.705385;0.747762;0.715909
16;0.695222;0.732303;0.734848
17;0.646299;0.781123;0.753788
18;0.629281;0.772986;0.738636
19;0.635264;0.764849;0.746212
20;0.583350;0.787632;0.772727
21;0.555748;0.799024;0.746212
22;0.543205;0.817738;0.761364
23;0.534599;0.814483;0.765152
24;0.536837;0.798210;0.750000
25;0.503593;0.822620;0.776515
26;0.490579;0.821806;0.784091
27;0.497884;0.829943;0.757576
28;0.438037;0.846216;0.750000
29;0.431815;0.839707;0.795455
30;0.431518;0.849471;0.784091
31;0.399040;0.868186;0.799242
32;0.385838;0.870627;0.780303
33;0.391863;0.868999;0.799242
34;0.380288;0.880391;0.803030
35;0.349700;0.883645;0.829545
36;0.349313;0.880391;0.803030
37;0.361234;0.883645;0.810606
38;0.338733;0.898291;0.795455
39;0.320417;0.891782;0.818182
40;0.331615;0.893409;0.818182
41;0.291943;0.906428;0.837121
42;0.290295;0.904801;0.837121
43;0.294214;0.903173;0.818182
44;0.265682;0.909683;0.856061
45;0.291162;0.897478;0.787879
46;0.264721;0.912124;0.814394
47;0.285648;0.912124;0.840909
48;0.243963;0.922701;0.848485
49;0.254804;0.913751;0.848485
50;0.236681;0.924329;0.829545
51;0.215421;0.927583;0.818182
52;0.233036;0.934906;0.852273
53;0.246274;0.921074;0.844697
54;0.229117;0.926770;0.844697
55;0.206543;0.934906;0.837121
56;0.212558;0.925142;0.825758
57;0.200952;0.941416;0.829545
