id;train_loss;train_acc;val_acc
0;1.965011;0.093750;-1.000000
1;1.927686;0.156250;-1.000000
2;1.868735;0.218750;-1.000000
3;1.907435;0.218750;-1.000000
4;1.870843;0.375000;-1.000000
5;1.844221;0.437500;-1.000000
6;1.823883;0.468750;-1.000000
7;1.805729;0.437500;-1.000000
8;1.823504;0.375000;-1.000000
9;1.729013;0.656250;-1.000000
10;1.759155;0.406250;-1.000000
11;1.753985;0.500000;-1.000000
12;1.760495;0.531250;-1.000000
13;1.712387;0.531250;-1.000000
14;1.713104;0.562500;-1.000000
15;1.766205;0.468750;-1.000000
16;1.715749;0.500000;-1.000000
17;1.691354;0.468750;-1.000000
18;1.658555;0.468750;-1.000000
19;1.673147;0.500000;-1.000000
20;1.685476;0.437500;-1.000000
21;1.704644;0.437500;-1.000000
22;1.688968;0.437500;-1.000000
23;1.636458;0.406250;-1.000000
24;1.618007;0.437500;-1.000000
25;1.546299;0.593750;-1.000000
26;1.835087;0.250000;-1.000000
27;1.601802;0.468750;-1.000000
28;1.593436;0.406250;-1.000000
29;1.562842;0.500000;-1.000000
30;1.511984;0.562500;-1.000000
31;1.557551;0.500000;-1.000000
32;1.587129;0.468750;-1.000000
33;1.504623;0.562500;-1.000000
34;1.580644;0.531250;-1.000000
35;1.632058;0.437500;-1.000000
36;1.587124;0.500000;-1.000000
37;1.478051;0.562500;-1.000000
38;1.587798;0.538462;-1.000000
39;1.611429;0.437500;-1.000000
40;1.681808;0.343750;-1.000000
41;1.369117;0.562500;-1.000000
42;1.597303;0.437500;-1.000000
43;1.499425;0.531250;-1.000000
44;1.542541;0.468750;-1.000000
45;1.436508;0.562500;-1.000000
46;1.510596;0.531250;-1.000000
47;1.661703;0.343750;-1.000000
48;1.263380;0.625000;-1.000000
49;1.546225;0.406250;-1.000000
50;1.521224;0.500000;-1.000000
51;1.482404;0.500000;-1.000000
52;1.495942;0.531250;-1.000000
53;1.432940;0.562500;-1.000000
54;1.607283;0.468750;-1.000000
55;1.516735;0.500000;-1.000000
56;1.529386;0.468750;-1.000000
57;1.449250;0.468750;-1.000000
58;1.471176;0.500000;-1.000000
59;1.601109;0.437500;-1.000000
60;1.560379;0.437500;-1.000000
61;1.573081;0.437500;-1.000000
62;1.487720;0.406250;-1.000000
63;1.482714;0.437500;-1.000000
64;1.358838;0.593750;-1.000000
65;1.837291;0.250000;-1.000000
66;1.472389;0.468750;-1.000000
67;1.505805;0.406250;-1.000000
68;1.440631;0.500000;-1.000000
69;1.358573;0.562500;-1.000000
70;1.455265;0.500000;-1.000000
71;1.548326;0.468750;-1.000000
72;1.349020;0.562500;-1.000000
73;1.495298;0.531250;-1.000000
74;1.516095;0.437500;-1.000000
75;1.512148;0.500000;-1.000000
76;1.353276;0.562500;-1.000000
77;1.479501;0.538462;-1.000000
78;1.549792;0.437500;-1.000000
79;1.651433;0.343750;-1.000000
80;1.281031;0.562500;-1.000000
81;1.527934;0.437500;-1.000000
82;1.420079;0.531250;-1.000000
83;1.466407;0.468750;-1.000000
84;1.396606;0.562500;-1.000000
85;1.445168;0.531250;-1.000000
86;1.680184;0.343750;-1.000000
87;1.176142;0.625000;-1.000000
88;1.523785;0.406250;-1.000000
89;1.443198;0.500000;-1.000000
90;1.425645;0.500000;-1.000000
91;1.467650;0.531250;-1.000000
92;1.374033;0.562500;-1.000000
93;1.523913;0.468750;-1.000000
94;1.520049;0.500000;-1.000000
95;1.482701;0.468750;-1.000000
96;1.361856;0.468750;-1.000000
97;1.405770;0.500000;-1.000000
98;1.524655;0.437500;-1.000000
99;1.477412;0.437500;-1.000000
100;1.514264;0.437500;-1.000000
101;1.430921;0.406250;-1.000000
102;1.440055;0.437500;-1.000000
103;1.337338;0.593750;-1.000000
104;1.788096;0.250000;-1.000000
105;1.482792;0.468750;-1.000000
106;1.492900;0.406250;-1.000000
107;1.428793;0.500000;-1.000000
108;1.295695;0.562500;-1.000000
109;1.352132;0.500000;-1.000000
110;1.519544;0.468750;-1.000000
111;1.252221;0.593750;-1.000000
112;1.417089;0.531250;-1.000000
113;1.441687;0.437500;-1.000000
114;1.437087;0.500000;-1.000000
115;1.317295;0.562500;-1.000000
116;1.466497;0.538462;-1.000000
117;1.543190;0.437500;-1.000000
118;1.631078;0.343750;-1.000000
119;1.200480;0.562500;-1.000000
120;1.499279;0.468750;-1.000000
121;1.385067;0.562500;-1.000000
122;1.400606;0.500000;-1.000000
123;1.348731;0.562500;-1.000000
124;1.394320;0.531250;-1.000000
125;1.719785;0.343750;-1.000000
126;1.104154;0.656250;-1.000000
127;1.490537;0.406250;-1.000000
128;1.411443;0.500000;-1.000000
129;1.386966;0.531250;-1.000000
130;1.428603;0.531250;-1.000000
131;1.358568;0.562500;-1.000000
132;1.434897;0.500000;-1.000000
133;1.475079;0.531250;-1.000000
134;1.433004;0.500000;-1.000000
135;1.395296;0.468750;-1.000000
136;1.363383;0.500000;-1.000000
137;1.484590;0.468750;-1.000000
138;1.465940;0.437500;-1.000000
139;1.479628;0.437500;-1.000000
140;1.466729;0.406250;-1.000000
141;1.383183;0.437500;-1.000000
142;1.281631;0.593750;-1.000000
143;1.669420;0.312500;-1.000000
144;1.425174;0.500000;-1.000000
145;1.438040;0.437500;-1.000000
146;1.416362;0.500000;-1.000000
147;1.260341;0.562500;-1.000000
148;1.338777;0.531250;-1.000000
149;1.441094;0.500000;-1.000000
150;1.219073;0.625000;-1.000000
151;1.305699;0.593750;-1.000000
152;1.353857;0.500000;-1.000000
153;1.419534;0.562500;-1.000000
154;1.305526;0.625000;-1.000000
155;1.412661;0.615385;-1.000000
156;1.543769;0.437500;-1.000000
157;1.613043;0.375000;-1.000000
158;1.176641;0.562500;-1.000000
159;1.459673;0.468750;-1.000000
160;1.307376;0.562500;-1.000000
161;1.368547;0.531250;-1.000000
162;1.254203;0.593750;-1.000000
163;1.331144;0.531250;-1.000000
164;1.675897;0.343750;-1.000000
165;1.070702;0.656250;-1.000000
166;1.431745;0.437500;-1.000000
167;1.360516;0.562500;-1.000000
168;1.295432;0.593750;-1.000000
169;1.399812;0.531250;-1.000000
170;1.320589;0.593750;-1.000000
171;1.393390;0.531250;-1.000000
172;1.468719;0.562500;-1.000000
173;1.404809;0.500000;-1.000000
174;1.346880;0.468750;-1.000000
175;1.270821;0.593750;-1.000000
176;1.445855;0.500000;-1.000000
177;1.397720;0.531250;-1.000000
178;1.404888;0.500000;-1.000000
179;1.436912;0.406250;-1.000000
180;1.351324;0.468750;-1.000000
181;1.222806;0.625000;-1.000000
182;1.614243;0.406250;-1.000000
183;1.375749;0.531250;-1.000000
184;1.478147;0.406250;-1.000000
185;1.427081;0.531250;-1.000000
186;1.262690;0.562500;-1.000000
187;1.307482;0.531250;-1.000000
188;1.441365;0.500000;-1.000000
189;1.173651;0.625000;-1.000000
190;1.206947;0.656250;-1.000000
191;1.267038;0.531250;-1.000000
192;1.382635;0.593750;-1.000000
193;1.235562;0.625000;-1.000000
194;1.282076;0.692308;-1.000000
195;1.520963;0.406250;-1.000000
196;1.566234;0.375000;-1.000000
197;1.139055;0.593750;-1.000000
198;1.397261;0.531250;-1.000000
199;1.213992;0.625000;-1.000000
200;1.302123;0.562500;-1.000000
201;1.239151;0.656250;-1.000000
202;1.314249;0.593750;-1.000000
203;1.693771;0.343750;-1.000000
204;1.051105;0.656250;-1.000000
205;1.411904;0.437500;-1.000000
206;1.308622;0.593750;-1.000000
207;1.266588;0.593750;-1.000000
208;1.364400;0.531250;-1.000000
209;1.226743;0.625000;-1.000000
210;1.304305;0.625000;-1.000000
211;1.461734;0.531250;-1.000000
212;1.411454;0.500000;-1.000000
213;1.327073;0.468750;-1.000000
214;1.224780;0.562500;-1.000000
215;1.369808;0.531250;-1.000000
216;1.370154;0.500000;-1.000000
217;1.401907;0.468750;-1.000000
218;1.506899;0.375000;-1.000000
219;1.320637;0.468750;-1.000000
220;1.181110;0.625000;-1.000000
221;1.466882;0.437500;-1.000000
222;1.369124;0.500000;-1.000000
223;1.467057;0.437500;-1.000000
224;1.344502;0.531250;-1.000000
225;1.213196;0.562500;-1.000000
226;1.298760;0.531250;-1.000000
227;1.375155;0.500000;-1.000000
228;1.110132;0.625000;-1.000000
229;1.181506;0.718750;-1.000000
230;1.214166;0.562500;-1.000000
231;1.261767;0.656250;-1.000000
232;1.196362;0.625000;-1.000000
233;1.241019;0.692308;-1.000000
234;1.473251;0.468750;-1.000000
235;1.530367;0.375000;-1.000000
236;1.112342;0.593750;-1.000000
237;1.364467;0.500000;-1.000000
238;1.188278;0.625000;-1.000000
239;1.247422;0.562500;-1.000000
240;1.154152;0.656250;-1.000000
241;1.245707;0.593750;-1.000000
242;1.646643;0.343750;-1.000000
243;1.049534;0.656250;-1.000000
244;1.419786;0.406250;-1.000000
245;1.230959;0.593750;-1.000000
246;1.200367;0.593750;-1.000000
247;1.344897;0.562500;-1.000000
248;1.252912;0.625000;-1.000000
249;1.200624;0.656250;-1.000000
250;1.394062;0.562500;-1.000000
251;1.314425;0.531250;-1.000000
252;1.294306;0.437500;-1.000000
253;1.173868;0.593750;-1.000000
254;1.326519;0.531250;-1.000000
255;1.351866;0.500000;-1.000000
256;1.345665;0.500000;-1.000000
257;1.482211;0.375000;-1.000000
258;1.293001;0.468750;-1.000000
259;1.187255;0.625000;-1.000000
260;1.403309;0.437500;-1.000000
261;1.298064;0.562500;-1.000000
262;1.438585;0.468750;-1.000000
263;1.420870;0.500000;-1.000000
264;1.221490;0.562500;-1.000000
265;1.261688;0.562500;-1.000000
266;1.371134;0.531250;-1.000000
267;1.048591;0.625000;-1.000000
268;1.069326;0.687500;-1.000000
269;1.122386;0.625000;-1.000000
270;1.294368;0.625000;-1.000000
271;1.207496;0.593750;-1.000000
272;1.031306;0.692308;-1.000000
273;1.470259;0.437500;-1.000000
274;1.489660;0.375000;-1.000000
275;1.062197;0.593750;-1.000000
276;1.294738;0.531250;-1.000000
277;1.163223;0.625000;-1.000000
278;1.259222;0.562500;-1.000000
279;1.107814;0.656250;-1.000000
280;1.268197;0.593750;-1.000000
281;1.718387;0.375000;-1.000000
282;1.031159;0.656250;-1.000000
283;1.356123;0.437500;-1.000000
284;1.255183;0.593750;-1.000000
285;1.220475;0.593750;-1.000000
286;1.363863;0.500000;-1.000000
287;1.216385;0.625000;-1.000000
288;1.115222;0.656250;-1.000000
289;1.388102;0.562500;-1.000000
290;1.365852;0.531250;-1.000000
291;1.334230;0.437500;-1.000000
292;1.173513;0.593750;-1.000000
293;1.259975;0.562500;-1.000000
294;1.275790;0.531250;-1.000000
295;1.324943;0.468750;-1.000000
296;1.486095;0.406250;-1.000000
297;1.269417;0.500000;-1.000000
298;1.181449;0.625000;-1.000000
299;1.399569;0.468750;-1.000000
300;1.275898;0.562500;-1.000000
301;1.412285;0.468750;-1.000000
302;1.434001;0.500000;-1.000000
303;1.216494;0.625000;-1.000000
304;1.305288;0.562500;-1.000000
305;1.325783;0.562500;-1.000000
306;1.046617;0.656250;-1.000000
307;1.043716;0.750000;-1.000000
308;1.124145;0.625000;-1.000000
309;1.265909;0.656250;-1.000000
310;1.198553;0.593750;-1.000000
311;1.154982;0.692308;-1.000000
312;1.475015;0.468750;-1.000000
313;1.481481;0.375000;-1.000000
314;1.097623;0.562500;-1.000000
315;1.287537;0.562500;-1.000000
316;1.142405;0.625000;-1.000000
317;1.191989;0.656250;-1.000000
318;1.113670;0.687500;-1.000000
319;1.233071;0.593750;-1.000000
320;1.645503;0.343750;-1.000000
321;1.016227;0.656250;-1.000000
322;1.316288;0.562500;-1.000000
323;1.229505;0.593750;-1.000000
324;1.173368;0.625000;-1.000000
325;1.314322;0.562500;-1.000000
326;1.182310;0.625000;-1.000000
327;1.127751;0.656250;-1.000000
328;1.362724;0.562500;-1.000000
329;1.326318;0.562500;-1.000000
330;1.282338;0.500000;-1.000000
331;1.169721;0.593750;-1.000000
332;1.266513;0.531250;-1.000000
333;1.302971;0.531250;-1.000000
334;1.285077;0.500000;-1.000000
335;1.430116;0.437500;-1.000000
336;1.236085;0.500000;-1.000000
337;1.157000;0.656250;-1.000000
338;1.365814;0.468750;-1.000000
339;1.319892;0.437500;-1.000000
340;1.443610;0.468750;-1.000000
341;1.328356;0.468750;-1.000000
342;1.233995;0.593750;-1.000000
343;1.289909;0.562500;-1.000000
344;1.330661;0.500000;-1.000000
345;0.993908;0.687500;-1.000000
346;1.051916;0.750000;-1.000000
347;1.120255;0.625000;-1.000000
348;1.230367;0.656250;-1.000000
349;1.148023;0.625000;-1.000000
350;1.094754;0.692308;-1.000000
351;1.528573;0.468750;-1.000000
352;1.453756;0.468750;-1.000000
353;1.069868;0.625000;-1.000000
354;1.273791;0.531250;-1.000000
355;1.182751;0.625000;-1.000000
356;1.224694;0.625000;-1.000000
357;1.115119;0.687500;-1.000000
358;1.218669;0.593750;-1.000000
359;1.617870;0.406250;-1.000000
360;1.015273;0.656250;-1.000000
361;1.267294;0.531250;-1.000000
362;1.204498;0.593750;-1.000000
363;1.167695;0.687500;-1.000000
364;1.358132;0.500000;-1.000000
365;1.109192;0.625000;-1.000000
366;1.100183;0.656250;-1.000000
367;1.380390;0.562500;-1.000000
368;1.308487;0.562500;-1.000000
369;1.255254;0.500000;-1.000000
370;1.171624;0.593750;-1.000000
371;1.247397;0.593750;-1.000000
372;1.268730;0.531250;-1.000000
373;1.328266;0.500000;-1.000000
374;1.501533;0.406250;-1.000000
375;1.192031;0.562500;-1.000000
376;1.141318;0.593750;-1.000000
377;1.310622;0.500000;-1.000000
378;1.275096;0.500000;-1.000000
379;1.427826;0.500000;-1.000000
380;1.361748;0.500000;-1.000000
381;1.146341;0.656250;-1.000000
382;1.274704;0.562500;-1.000000
383;1.284636;0.531250;-1.000000
384;1.072239;0.687500;-1.000000
385;1.087154;0.718750;-1.000000
386;1.086492;0.656250;-1.000000
387;1.225896;0.656250;-1.000000
388;1.140541;0.625000;-1.000000
389;1.075758;0.692308;-1.000000
390;1.449333;0.500000;-1.000000
391;1.418866;0.531250;-1.000000
392;1.039520;0.625000;-1.000000
393;1.282212;0.531250;-1.000000
394;1.139059;0.656250;-1.000000
395;1.164014;0.656250;-1.000000
396;1.066298;0.656250;-1.000000
397;1.219038;0.593750;-1.000000
398;1.631268;0.406250;-1.000000
399;1.034004;0.687500;-1.000000
400;1.317542;0.562500;-1.000000
401;1.160288;0.593750;-1.000000
402;1.147118;0.625000;-1.000000
403;1.327852;0.562500;-1.000000
404;1.186713;0.593750;-1.000000
405;1.034356;0.687500;-1.000000
406;1.321268;0.562500;-1.000000
407;1.276482;0.531250;-1.000000
408;1.323008;0.468750;-1.000000
409;1.122271;0.625000;-1.000000
410;1.247497;0.625000;-1.000000
411;1.209698;0.625000;-1.000000
412;1.227964;0.562500;-1.000000
413;1.390836;0.437500;-1.000000
414;1.250250;0.562500;-1.000000
415;1.124147;0.656250;-1.000000
416;1.268724;0.562500;-1.000000
417;1.363810;0.468750;-1.000000
418;1.430847;0.437500;-1.000000
419;1.414861;0.500000;-1.000000
420;1.160882;0.562500;-1.000000
421;1.280497;0.531250;-1.000000
422;1.301584;0.531250;-1.000000
423;0.956566;0.656250;-1.000000
424;1.036987;0.750000;-1.000000
425;1.077599;0.593750;-1.000000
426;1.161922;0.656250;-1.000000
427;1.087951;0.593750;-1.000000
428;1.069251;0.692308;-1.000000
429;1.373813;0.531250;-1.000000
430;1.425251;0.437500;-1.000000
431;1.048292;0.625000;-1.000000
432;1.253198;0.562500;-1.000000
433;1.117893;0.625000;-1.000000
434;1.171332;0.656250;-1.000000
435;1.073223;0.687500;-1.000000
436;1.157271;0.625000;-1.000000
437;1.609337;0.437500;-1.000000
438;0.980592;0.687500;-1.000000
439;1.307677;0.562500;-1.000000
440;1.102412;0.625000;-1.000000
441;1.075465;0.656250;-1.000000
442;1.285636;0.562500;-1.000000
443;1.152463;0.593750;-1.000000
444;1.055375;0.687500;-1.000000
445;1.303816;0.593750;-1.000000
446;1.254237;0.625000;-1.000000
447;1.293245;0.468750;-1.000000
448;1.086573;0.656250;-1.000000
449;1.215872;0.593750;-1.000000
450;1.252359;0.562500;-1.000000
451;1.279100;0.531250;-1.000000
452;1.404816;0.437500;-1.000000
453;1.144322;0.625000;-1.000000
454;1.081251;0.625000;-1.000000
455;1.289889;0.500000;-1.000000
456;1.231793;0.562500;-1.000000
457;1.424810;0.406250;-1.000000
458;1.353508;0.531250;-1.000000
459;1.187593;0.562500;-1.000000
460;1.254545;0.531250;-1.000000
461;1.243264;0.562500;-1.000000
462;0.895219;0.687500;-1.000000
463;1.052144;0.750000;-1.000000
464;1.069070;0.625000;-1.000000
465;1.151809;0.656250;-1.000000
466;1.082236;0.656250;-1.000000
