id;train_loss;train_acc;val_acc
0;1.699235;0.445077;0.511364
1;1.502918;0.480879;0.511364
2;1.449740;0.481692;0.530303
3;1.409531;0.502034;0.545455
4;1.364305;0.527258;0.560606
5;1.323991;0.540277;0.568182
6;1.282397;0.546786;0.575758
7;1.273198;0.555736;0.579545
8;1.251241;0.563873;0.583333
9;1.242858;0.574451;0.587121
10;1.223651;0.579333;0.598485
11;1.199498;0.588283;0.602273
12;1.205938;0.585028;0.606061
13;1.190552;0.594793;0.613636
14;1.164208;0.596420;0.621212
15;1.153274;0.606998;0.621212
16;1.138533;0.606998;0.647727
17;1.119251;0.620016;0.655303
18;1.106591;0.624898;0.670455
19;1.073496;0.637103;0.681818
20;1.065760;0.641172;0.681818
21;1.045754;0.641172;0.689394
22;1.033387;0.646867;0.712121
23;1.024143;0.660700;0.708333
24;1.003718;0.668023;0.719697
25;0.978013;0.684296;0.715909
26;0.976919;0.673718;0.719697
27;0.966102;0.686737;0.647727
28;0.970823;0.681855;0.731061
29;0.939594;0.699756;0.738636
30;0.938014;0.703011;0.742424
31;0.936324;0.698942;0.742424
32;0.929022;0.700570;0.727273
33;0.922886;0.698129;0.734848
34;0.914028;0.706265;0.734848
35;0.902029;0.707893;0.738636
36;0.909196;0.707893;0.742424
37;0.899353;0.711961;0.731061
38;0.885493;0.716029;0.715909
39;0.888178;0.718470;0.742424
40;0.879714;0.719284;0.750000
41;0.863410;0.714402;0.753788
42;0.844984;0.725793;0.750000
43;0.846410;0.728234;0.753788
44;0.845409;0.718470;0.734848
45;0.842871;0.724166;0.746212
46;0.842668;0.716029;0.742424
47;0.818206;0.735557;0.738636
48;0.830909;0.724166;0.750000
49;0.807976;0.744508;0.750000
50;0.806646;0.731489;0.719697
51;0.805949;0.739626;0.731061
52;0.802712;0.734744;0.719697
53;0.789149;0.742067;0.738636
54;0.801462;0.738812;0.746212
55;0.783765;0.746949;0.765152
56;0.771504;0.748576;0.742424
57;0.755021;0.750203;0.742424
58;0.732576;0.762408;0.757576
59;0.763621;0.748576;0.757576
60;0.758227;0.752644;0.750000
61;0.766405;0.739626;0.750000
62;0.729253;0.757526;0.750000
63;0.745808;0.752644;0.746212
64;0.741151;0.751831;0.753788
65;0.740970;0.758340;0.761364
66;0.713141;0.768918;0.753788
67;0.735114;0.755899;0.757576
68;0.711480;0.757526;0.768939
69;0.708398;0.769731;0.753788
70;0.697726;0.768918;0.757576
71;0.669134;0.784378;0.765152
72;0.692517;0.774614;0.719697
73;0.693256;0.762408;0.772727
74;0.686506;0.770545;0.803030
75;0.669529;0.779496;0.784091
76;0.656527;0.784378;0.772727
77;0.649057;0.793328;0.765152
78;0.680385;0.767290;0.768939
79;0.634930;0.783564;0.765152
80;0.677491;0.771359;0.765152
81;0.635150;0.791701;0.761364
82;0.637829;0.778682;0.791667
83;0.643355;0.782750;0.768939
84;0.641302;0.782750;0.772727
85;0.619457;0.788446;0.784091
86;0.620999;0.790887;0.799242
87;0.597070;0.806347;0.787879
88;0.618638;0.785191;0.799242
89;0.576951;0.796583;0.787879
90;0.611471;0.801465;0.791667
91;0.580116;0.807974;0.784091
92;0.589598;0.800651;0.795455
93;0.580662;0.805533;0.768939
94;0.574630;0.800651;0.776515
95;0.567531;0.807974;0.814394
96;0.570091;0.799024;0.799242
97;0.551553;0.808788;0.776515
98;0.555598;0.811229;0.791667
99;0.546811;0.809601;0.787879
100;0.547805;0.817738;0.772727
101;0.540690;0.815297;0.765152
102;0.559069;0.807974;0.768939
103;0.530426;0.822620;0.795455
104;0.545530;0.818552;0.784091
105;0.504246;0.829129;0.780303
106;0.523680;0.821806;0.799242
107;0.530544;0.813670;0.795455
108;0.519514;0.820993;0.803030
109;0.485860;0.826688;0.787879
110;0.511888;0.827502;0.814394
111;0.506969;0.829129;0.803030
112;0.465032;0.846216;0.806818
113;0.503390;0.825875;0.810606
114;0.483017;0.829129;0.799242
115;0.464453;0.829943;0.799242
116;0.468545;0.834825;0.776515
117;0.481743;0.832384;0.795455
118;0.467899;0.834825;0.791667
119;0.475995;0.835639;0.803030
120;0.459461;0.841334;0.806818
121;0.484164;0.825061;0.818182
122;0.444219;0.846216;0.795455
123;0.408419;0.863303;0.818182
124;0.470044;0.829129;0.818182
125;0.438230;0.833198;0.818182
126;0.444166;0.838080;0.784091
127;0.436848;0.848657;0.810606
128;0.421616;0.851098;0.825758
129;0.425896;0.854353;0.791667
130;0.409800;0.861676;0.806818
131;0.408603;0.853539;0.825758
132;0.394013;0.856794;0.803030
133;0.391298;0.865745;0.806818
134;0.379645;0.867372;0.799242
135;0.390233;0.862490;0.810606
136;0.397343;0.855980;0.821970
137;0.370116;0.870627;0.837121
138;0.358606;0.873068;0.772727
139;0.368261;0.881204;0.810606
140;0.384309;0.865745;0.829545
141;0.380073;0.867372;0.825758
142;0.356754;0.880391;0.814394
143;0.353464;0.879577;0.787879
144;0.384398;0.871440;0.799242
145;0.358133;0.870627;0.840909
146;0.315746;0.903173;0.825758
147;0.359798;0.873068;0.844697
148;0.358025;0.885273;0.863636
149;0.334614;0.896664;0.795455
150;0.345095;0.878763;0.833333
151;0.338806;0.895037;0.840909
152;0.316443;0.890155;0.818182
153;0.319228;0.894223;0.833333
154;0.310825;0.896664;0.840909
155;0.328102;0.891782;0.791667
156;0.326989;0.898291;0.810606
157;0.346608;0.887714;0.833333
158;0.308209;0.891782;0.844697
159;0.291514;0.908055;0.799242
160;0.300909;0.906428;0.837121
161;0.287559;0.909683;0.852273
162;0.283919;0.907242;0.833333
163;0.275700;0.903987;0.833333
164;0.266686;0.914565;0.818182
165;0.276896;0.911310;0.818182
166;0.287724;0.899105;0.859848
167;0.307148;0.899105;0.829545
168;0.268178;0.913751;0.852273
169;0.291312;0.908869;0.856061
170;0.277788;0.913751;0.852273
171;0.272646;0.909683;0.863636
172;0.293722;0.912937;0.882576
173;0.257191;0.913751;0.878788
174;0.249012;0.912124;0.871212
175;0.263100;0.907242;0.852273
176;0.264752;0.923515;0.867424
177;0.255393;0.919447;0.859848
178;0.246454;0.917006;0.893939
179;0.274937;0.909683;0.882576
180;0.254794;0.919447;0.856061
181;0.260473;0.920260;0.856061
182;0.224356;0.925142;0.867424
183;0.256397;0.915378;0.852273
184;0.249683;0.921074;0.867424
185;0.245360;0.917006;0.882576
186;0.241831;0.927583;0.882576
187;0.272526;0.918633;0.863636
188;0.243992;0.917819;0.852273
189;0.227476;0.930024;0.867424
190;0.238770;0.919447;0.863636
191;0.198262;0.936534;0.829545
192;0.230633;0.921074;0.863636
193;0.213839;0.926770;0.905303
194;0.210782;0.933279;0.878788
195;0.188684;0.946298;0.875000
196;0.220072;0.922701;0.905303
197;0.181626;0.943857;0.867424
198;0.222495;0.934093;0.859848
199;0.211400;0.928397;0.871212
200;0.187365;0.939788;0.840909
