id;train_loss;train_acc;val_acc
0;1.820291;0.250000;-1.000000
1;2.170606;0.343750;-1.000000
2;1.721226;0.250000;-1.000000
3;1.696279;0.437500;-1.000000
4;1.489872;0.531250;-1.000000
5;1.510256;0.468750;-1.000000
6;1.494888;0.562500;-1.000000
7;1.454611;0.531250;-1.000000
8;1.773541;0.343750;-1.000000
9;1.270843;0.468750;-1.000000
10;1.564367;0.406250;-1.000000
11;1.554578;0.406250;-1.000000
12;1.421859;0.500000;-1.000000
13;1.480903;0.531250;-1.000000
14;1.342786;0.562500;-1.000000
15;1.487793;0.468750;-1.000000
16;1.571259;0.562500;-1.000000
17;1.493825;0.468750;-1.000000
18;1.280273;0.531250;-1.000000
19;1.346763;0.531250;-1.000000
20;1.419582;0.500000;-1.000000
21;1.396437;0.562500;-1.000000
22;1.394570;0.500000;-1.000000
23;1.470228;0.343750;-1.000000
24;1.300700;0.468750;-1.000000
25;1.117497;0.687500;-1.000000
26;1.909460;0.250000;-1.000000
27;1.543190;0.531250;-1.000000
28;1.525099;0.437500;-1.000000
29;1.415453;0.406250;-1.000000
30;1.173046;0.625000;-1.000000
31;1.299835;0.562500;-1.000000
32;1.315421;0.500000;-1.000000
33;1.105250;0.625000;-1.000000
34;1.014514;0.718750;-1.000000
35;1.215155;0.562500;-1.000000
36;1.297662;0.687500;-1.000000
37;1.209270;0.625000;-1.000000
38;1.135828;0.692308;-1.000000
39;1.446223;0.531250;-1.000000
40;1.512594;0.406250;-1.000000
41;1.187505;0.625000;-1.000000
42;1.330155;0.500000;-1.000000
43;1.092030;0.718750;-1.000000
44;1.202405;0.562500;-1.000000
45;1.157120;0.656250;-1.000000
46;1.082248;0.625000;-1.000000
47;1.549021;0.375000;-1.000000
48;1.160971;0.625000;-1.000000
49;1.325668;0.468750;-1.000000
50;1.310301;0.437500;-1.000000
51;1.132032;0.593750;-1.000000
52;1.271810;0.531250;-1.000000
53;1.085473;0.625000;-1.000000
54;1.144256;0.718750;-1.000000
55;1.404302;0.593750;-1.000000
56;1.268358;0.531250;-1.000000
57;1.093530;0.687500;-1.000000
58;1.152005;0.562500;-1.000000
59;1.134879;0.625000;-1.000000
60;1.184587;0.531250;-1.000000
61;1.283810;0.562500;-1.000000
62;1.383111;0.437500;-1.000000
63;1.104552;0.531250;-1.000000
64;0.954667;0.625000;-1.000000
65;1.473317;0.468750;-1.000000
66;1.327383;0.500000;-1.000000
67;1.243140;0.500000;-1.000000
68;1.233845;0.656250;-1.000000
69;0.973753;0.718750;-1.000000
70;1.253078;0.562500;-1.000000
71;1.152102;0.562500;-1.000000
72;0.960051;0.750000;-1.000000
73;0.867012;0.750000;-1.000000
74;1.082689;0.656250;-1.000000
75;1.118979;0.687500;-1.000000
76;1.026158;0.656250;-1.000000
77;0.931234;0.692308;-1.000000
78;1.279124;0.562500;-1.000000
79;1.427371;0.468750;-1.000000
80;1.066961;0.718750;-1.000000
81;1.055382;0.593750;-1.000000
82;0.908550;0.781250;-1.000000
83;0.973378;0.656250;-1.000000
84;1.116782;0.687500;-1.000000
85;0.950295;0.656250;-1.000000
86;1.419940;0.468750;-1.000000
87;1.060653;0.593750;-1.000000
88;1.098100;0.531250;-1.000000
89;1.267142;0.531250;-1.000000
90;1.036226;0.656250;-1.000000
91;1.199670;0.593750;-1.000000
92;1.088756;0.625000;-1.000000
93;1.042229;0.718750;-1.000000
94;1.365618;0.656250;-1.000000
95;1.144479;0.593750;-1.000000
96;1.026473;0.625000;-1.000000
97;1.019867;0.593750;-1.000000
98;1.065594;0.625000;-1.000000
99;0.957332;0.656250;-1.000000
100;1.311196;0.625000;-1.000000
101;1.259486;0.500000;-1.000000
102;0.990016;0.531250;-1.000000
103;0.828290;0.656250;-1.000000
104;1.263446;0.593750;-1.000000
105;1.170189;0.593750;-1.000000
106;1.152849;0.562500;-1.000000
107;1.185113;0.656250;-1.000000
108;0.893712;0.687500;-1.000000
109;1.207740;0.593750;-1.000000
110;1.050635;0.562500;-1.000000
111;0.878684;0.750000;-1.000000
112;0.755342;0.781250;-1.000000
113;1.027731;0.625000;-1.000000
114;1.036035;0.687500;-1.000000
115;0.896028;0.718750;-1.000000
116;0.865435;0.692308;-1.000000
117;1.236197;0.531250;-1.000000
118;1.347961;0.531250;-1.000000
119;1.015168;0.656250;-1.000000
120;0.978330;0.625000;-1.000000
121;0.863687;0.750000;-1.000000
122;0.905278;0.718750;-1.000000
123;0.941492;0.656250;-1.000000
124;0.908128;0.750000;-1.000000
125;1.408015;0.437500;-1.000000
126;1.105906;0.500000;-1.000000
127;1.031941;0.656250;-1.000000
128;1.037737;0.593750;-1.000000
129;0.874459;0.750000;-1.000000
130;1.024402;0.625000;-1.000000
131;0.979657;0.625000;-1.000000
132;0.991949;0.718750;-1.000000
133;1.223047;0.656250;-1.000000
134;1.059608;0.625000;-1.000000
135;0.916745;0.687500;-1.000000
136;0.914864;0.718750;-1.000000
137;1.075951;0.656250;-1.000000
138;0.869813;0.687500;-1.000000
139;1.328189;0.562500;-1.000000
140;1.145655;0.531250;-1.000000
141;0.875748;0.531250;-1.000000
142;0.796166;0.718750;-1.000000
143;1.064832;0.593750;-1.000000
144;1.051923;0.625000;-1.000000
145;1.004387;0.718750;-1.000000
146;1.139411;0.656250;-1.000000
147;0.839735;0.687500;-1.000000
148;1.072626;0.625000;-1.000000
149;1.043279;0.562500;-1.000000
150;0.913543;0.718750;-1.000000
151;0.752272;0.812500;-1.000000
152;0.938506;0.656250;-1.000000
153;0.956353;0.750000;-1.000000
154;0.817742;0.750000;-1.000000
155;0.820332;0.692308;-1.000000
156;1.143746;0.625000;-1.000000
157;1.323050;0.437500;-1.000000
158;0.992701;0.687500;-1.000000
159;0.877984;0.750000;-1.000000
160;0.785861;0.781250;-1.000000
161;0.842668;0.750000;-1.000000
162;0.960554;0.656250;-1.000000
163;0.821463;0.718750;-1.000000
164;1.303203;0.500000;-1.000000
165;0.965617;0.625000;-1.000000
166;0.895042;0.687500;-1.000000
167;1.018296;0.593750;-1.000000
168;0.858947;0.781250;-1.000000
