id;train_loss;train_acc;val_acc
0;1.441154;0.495525;0.590909
1;1.194778;0.584215;0.640152
2;1.085688;0.624898;0.662879
3;1.006950;0.649308;0.670455
4;0.939650;0.675346;0.685606
5;0.880870;0.696501;0.678030
6;0.817907;0.711961;0.693182
7;0.779780;0.712775;0.708333
8;0.733035;0.733116;0.712121
9;0.659916;0.759967;0.712121
10;0.650222;0.769731;0.734848
11;0.599262;0.781937;0.693182
12;0.589676;0.781937;0.742424
13;0.558944;0.804719;0.750000
14;0.524740;0.816924;0.742424
15;0.489689;0.830757;0.780303
16;0.484108;0.827502;0.727273
17;0.434114;0.847030;0.803030
18;0.418342;0.846216;0.780303
19;0.410038;0.854353;0.806818
20;0.376385;0.864931;0.799242
21;0.370594;0.870627;0.829545
22;0.335598;0.884459;0.825758
23;0.320814;0.899105;0.803030
24;0.314045;0.899105;0.829545
25;0.306141;0.895850;0.848485
26;0.285711;0.909683;0.852273
27;0.277306;0.903987;0.806818
28;0.263845;0.911310;0.875000
29;0.251241;0.912937;0.821970
30;0.245878;0.912124;0.859848
31;0.206074;0.933279;0.859848
32;0.214791;0.932465;0.878788
33;0.202118;0.937347;0.852273
34;0.185482;0.938161;0.871212
35;0.177661;0.949552;0.886364
36;0.156634;0.955248;0.882576
37;0.161354;0.953621;0.897727
38;0.155879;0.955248;0.878788
39;0.160737;0.943043;0.890152
40;0.142952;0.959317;0.882576
41;0.128470;0.960130;0.867424
42;0.123858;0.960130;0.882576
43;0.131477;0.959317;0.886364
44;0.120794;0.965826;0.890152
45;0.108967;0.973963;0.882576
46;0.106200;0.967453;0.882576
47;0.100930;0.968267;0.886364
48;0.097806;0.969894;0.882576
49;0.095322;0.970708;0.890152
50;0.102476;0.968267;0.882576
51;0.087148;0.974776;0.905303
52;0.081794;0.976404;0.890152
53;0.081034;0.975590;0.901515
54;0.076362;0.979658;0.875000
55;0.072561;0.981286;0.878788
56;0.082494;0.967453;0.901515
57;0.073024;0.977217;0.901515
58;0.063926;0.980472;0.882576
59;0.062279;0.981286;0.901515
60;0.068000;0.984540;0.905303
61;0.060722;0.983727;0.905303
62;0.054036;0.986981;0.818182
63;0.061255;0.980472;0.909091
64;0.037549;0.992677;0.893939
65;0.054829;0.986981;0.893939
66;0.044028;0.986981;0.909091
67;0.043281;0.991863;0.909091
68;0.039106;0.995932;0.905303
69;0.047715;0.986981;0.890152
70;0.039174;0.988609;0.901515
71;0.060302;0.982913;0.901515
72;0.038672;0.988609;0.912879
73;0.036423;0.990236;0.916667
74;0.049473;0.986981;0.901515
75;0.036897;0.991863;0.829545
76;0.038220;0.986168;0.905303
77;0.029346;0.995118;0.909091
78;0.039303;0.987795;0.909091
79;0.027461;0.991863;0.905303
80;0.036678;0.986981;0.901515
81;0.034023;0.990236;0.912879
82;0.034986;0.987795;0.909091
83;0.031054;0.990236;0.909091
84;0.028298;0.991863;0.909091
85;0.031349;0.989422;0.912879
86;0.023220;0.995932;0.909091
87;0.030427;0.991863;0.905303
88;0.041333;0.988609;0.909091
89;0.027157;0.993491;0.909091
90;0.025761;0.995118;0.916667
91;0.024971;0.994304;0.920455
92;0.027127;0.992677;0.905303
93;0.033289;0.987795;0.905303
94;0.022176;0.993491;0.909091
95;0.015082;0.996745;0.909091
96;0.017391;0.995932;0.897727
97;0.017100;0.993491;0.920455
98;0.026802;0.992677;0.916667
99;0.021378;0.994304;0.909091
100;0.018174;0.995118;0.920455
101;0.018966;0.992677;0.916667
102;0.022131;0.992677;0.924242
103;0.017619;0.996745;0.916667
104;0.012765;0.996745;0.916667
105;0.018436;0.994304;0.912879
106;0.011078;0.998373;0.905303
107;0.015827;0.994304;0.920455
108;0.020477;0.993491;0.909091
109;0.020011;0.992677;0.909091
110;0.021978;0.992677;0.916667
111;0.017490;0.995118;0.909091
112;0.012494;0.996745;0.897727
113;0.010603;0.997559;0.920455
114;0.015937;0.995118;0.916667
115;0.007502;1.000000;0.905303
116;0.018006;0.995932;0.901515
117;0.009993;0.997559;0.920455
118;0.012615;0.997559;0.924242
119;0.014450;0.995932;0.912879
120;0.011631;0.998373;0.897727
121;0.015261;0.995118;0.912879
122;0.016844;0.993491;0.901515
123;0.013579;0.995932;0.920455
124;0.022725;0.994304;0.909091
125;0.006242;1.000000;0.920455
126;0.011793;0.995932;0.905303
127;0.007249;0.999186;0.912879
128;0.014881;0.996745;0.916667
129;0.012676;0.995932;0.909091
130;0.020091;0.993491;0.924242
131;0.006368;0.998373;0.905303
132;0.007602;0.997559;0.912879
133;0.015458;0.994304;0.924242
134;0.008094;0.997559;0.909091
135;0.010119;0.996745;0.912879
136;0.008301;0.997559;0.916667
137;0.011717;0.995932;0.901515
138;0.013111;0.994304;0.909091
139;0.012802;0.995932;0.909091
140;0.005241;0.998373;0.909091
141;0.007699;0.997559;0.912879
142;0.014659;0.994304;0.912879
143;0.007424;0.999186;0.924242
144;0.009211;0.996745;0.912879
145;0.006961;0.998373;0.916667
146;0.011547;0.996745;0.920455
147;0.009813;0.997559;0.901515
148;0.007769;0.997559;0.916667
149;0.004924;0.999186;0.909091
150;0.005120;1.000000;0.924242
151;0.011006;0.996745;0.905303
152;0.006109;0.998373;0.920455
153;0.013016;0.995118;0.920455
154;0.015242;0.997559;0.912879
155;0.007573;0.998373;0.901515
156;0.005813;0.998373;0.916667
157;0.010088;0.996745;0.905303
158;0.011446;0.995932;0.935606
159;0.005984;0.998373;0.920455
160;0.005815;0.999186;0.897727
161;0.006504;0.998373;0.859848
162;0.007693;0.997559;0.912879
