id;train_loss;train_acc;val_acc
0;1.969208;0.125000;-1.000000
1;1.959504;0.250000;-1.000000
2;1.872127;0.375000;-1.000000
3;1.848960;0.250000;-1.000000
4;1.863496;0.531250;-1.000000
5;1.792597;0.468750;-1.000000
6;1.738253;0.625000;-1.000000
7;1.755446;0.531250;-1.000000
8;1.811701;0.343750;-1.000000
9;1.745687;0.625000;-1.000000
10;1.765139;0.406250;-1.000000
11;1.658370;0.500000;-1.000000
12;1.710318;0.531250;-1.000000
13;1.681294;0.531250;-1.000000
14;1.535802;0.562500;-1.000000
15;1.706503;0.500000;-1.000000
16;1.628459;0.562500;-1.000000
17;1.622760;0.468750;-1.000000
18;1.672483;0.468750;-1.000000
19;1.670325;0.500000;-1.000000
20;1.570337;0.500000;-1.000000
21;1.697234;0.531250;-1.000000
22;1.676758;0.468750;-1.000000
23;1.692246;0.375000;-1.000000
24;1.568570;0.500000;-1.000000
25;1.531324;0.593750;-1.000000
26;1.776604;0.406250;-1.000000
27;1.463199;0.500000;-1.000000
28;1.536055;0.437500;-1.000000
29;1.589357;0.500000;-1.000000
30;1.620372;0.593750;-1.000000
31;1.545900;0.562500;-1.000000
32;1.677184;0.500000;-1.000000
33;1.484336;0.656250;-1.000000
34;1.430397;0.750000;-1.000000
35;1.512231;0.500000;-1.000000
36;1.511320;0.656250;-1.000000
37;1.477350;0.625000;-1.000000
38;1.450391;0.615385;-1.000000
39;1.617336;0.437500;-1.000000
40;1.574075;0.343750;-1.000000
41;1.435494;0.562500;-1.000000
42;1.426794;0.531250;-1.000000
43;1.498645;0.656250;-1.000000
44;1.409470;0.562500;-1.000000
45;1.251624;0.656250;-1.000000
46;1.471767;0.593750;-1.000000
47;1.674508;0.343750;-1.000000
48;1.390884;0.625000;-1.000000
49;1.541770;0.437500;-1.000000
50;1.432324;0.500000;-1.000000
51;1.359530;0.562500;-1.000000
52;1.449925;0.562500;-1.000000
53;1.206962;0.656250;-1.000000
54;1.433920;0.593750;-1.000000
55;1.515843;0.500000;-1.000000
56;1.516995;0.531250;-1.000000
57;1.512542;0.500000;-1.000000
58;1.359269;0.656250;-1.000000
59;1.404702;0.500000;-1.000000
60;1.555929;0.500000;-1.000000
61;1.522615;0.500000;-1.000000
62;1.532729;0.406250;-1.000000
63;1.324941;0.531250;-1.000000
64;1.324113;0.625000;-1.000000
65;1.582029;0.437500;-1.000000
66;1.348280;0.531250;-1.000000
67;1.431945;0.468750;-1.000000
68;1.465403;0.500000;-1.000000
69;1.379639;0.562500;-1.000000
70;1.462978;0.500000;-1.000000
71;1.601303;0.500000;-1.000000
72;1.257205;0.656250;-1.000000
73;1.170470;0.750000;-1.000000
74;1.303958;0.593750;-1.000000
75;1.414251;0.625000;-1.000000
76;1.253289;0.625000;-1.000000
77;1.308741;0.692308;-1.000000
78;1.490093;0.437500;-1.000000
79;1.500704;0.375000;-1.000000
80;1.296858;0.562500;-1.000000
81;1.362665;0.500000;-1.000000
82;1.309016;0.656250;-1.000000
83;1.220280;0.562500;-1.000000
84;1.123601;0.687500;-1.000000
85;1.365106;0.593750;-1.000000
86;1.699145;0.343750;-1.000000
87;1.094907;0.687500;-1.000000
88;1.420776;0.500000;-1.000000
89;1.301981;0.593750;-1.000000
90;1.176896;0.625000;-1.000000
91;1.402209;0.562500;-1.000000
92;1.054133;0.687500;-1.000000
93;1.327580;0.562500;-1.000000
94;1.436276;0.562500;-1.000000
95;1.417168;0.500000;-1.000000
96;1.472626;0.468750;-1.000000
97;1.245406;0.562500;-1.000000
98;1.319076;0.500000;-1.000000
99;1.410053;0.468750;-1.000000
100;1.456299;0.500000;-1.000000
101;1.443975;0.375000;-1.000000
102;1.231789;0.531250;-1.000000
103;1.221524;0.593750;-1.000000
104;1.405688;0.500000;-1.000000
105;1.361747;0.500000;-1.000000
106;1.430555;0.500000;-1.000000
107;1.411450;0.500000;-1.000000
108;1.208880;0.593750;-1.000000
109;1.350338;0.500000;-1.000000
110;1.466508;0.500000;-1.000000
111;1.078711;0.656250;-1.000000
112;1.035180;0.750000;-1.000000
113;1.107218;0.625000;-1.000000
114;1.358857;0.562500;-1.000000
115;1.171988;0.625000;-1.000000
116;1.293416;0.615385;-1.000000
117;1.327875;0.468750;-1.000000
118;1.509610;0.375000;-1.000000
119;1.158357;0.625000;-1.000000
120;1.322917;0.562500;-1.000000
121;1.196504;0.656250;-1.000000
122;1.247518;0.562500;-1.000000
123;1.151577;0.687500;-1.000000
124;1.166113;0.593750;-1.000000
125;1.692048;0.375000;-1.000000
126;0.989375;0.687500;-1.000000
127;1.357652;0.531250;-1.000000
128;1.290876;0.500000;-1.000000
129;1.102088;0.625000;-1.000000
130;1.294901;0.562500;-1.000000
131;1.091839;0.656250;-1.000000
132;1.103149;0.656250;-1.000000
133;1.495525;0.562500;-1.000000
134;1.428489;0.500000;-1.000000
135;1.218843;0.500000;-1.000000
136;1.181712;0.625000;-1.000000
137;1.327343;0.500000;-1.000000
138;1.312860;0.500000;-1.000000
