id;train_loss;train_acc;val_acc
0;1.662041;0.496338;0.568182
1;1.428826;0.544345;0.575758
2;1.320017;0.548413;0.579545
3;1.261019;0.561432;0.594697
4;1.232360;0.576892;0.602273
5;1.219127;0.582587;0.617424
6;1.190241;0.593979;0.628788
7;1.178434;0.599675;0.628788
8;1.144530;0.606184;0.640152
9;1.145399;0.608625;0.643939
10;1.123390;0.611880;0.647727
11;1.102976;0.627339;0.643939
12;1.087337;0.633035;0.640152
13;1.045835;0.641172;0.651515
14;1.060175;0.639544;0.662879
15;1.030044;0.655004;0.678030
16;1.000124;0.663141;0.685606
17;0.966377;0.673718;0.689394
18;0.952986;0.677787;0.696970
19;0.907760;0.694874;0.704545
20;0.901255;0.694874;0.704545
21;0.861932;0.708706;0.723485
22;0.846356;0.710334;0.719697
23;0.799705;0.736371;0.742424
24;0.772853;0.737998;0.750000
25;0.757462;0.746949;0.750000
26;0.763654;0.752644;0.753788
27;0.716009;0.759154;0.753788
28;0.713033;0.758340;0.765152
29;0.691740;0.763222;0.768939
30;0.643705;0.780309;0.768939
31;0.648737;0.777868;0.765152
32;0.632711;0.792514;0.765152
33;0.615575;0.800651;0.768939
34;0.596463;0.805533;0.776515
35;0.600260;0.801465;0.772727
36;0.580790;0.805533;0.772727
37;0.541639;0.807160;0.768939
38;0.547020;0.812856;0.776515
39;0.534636;0.821806;0.791667
40;0.492115;0.835639;0.765152
41;0.522567;0.825061;0.772727
42;0.483697;0.836452;0.772727
43;0.467741;0.839707;0.784091
44;0.488736;0.838080;0.757576
45;0.465321;0.840521;0.768939
46;0.461916;0.843775;0.787879
47;0.452102;0.842148;0.776515
48;0.420248;0.864117;0.772727
49;0.420624;0.859235;0.810606
50;0.408548;0.865745;0.806818
51;0.382959;0.864931;0.799242
52;0.385133;0.867372;0.791667
53;0.356870;0.878763;0.814394
54;0.381505;0.874695;0.780303
55;0.347607;0.877950;0.795455
56;0.345541;0.881204;0.806818
57;0.313594;0.897478;0.787879
58;0.325569;0.886086;0.803030
59;0.338747;0.886900;0.799242
60;0.335330;0.886900;0.803030
61;0.313479;0.892596;0.803030
62;0.285745;0.900732;0.803030
63;0.276770;0.903987;0.784091
64;0.292384;0.893409;0.806818
65;0.290894;0.902360;0.799242
66;0.262134;0.905614;0.787879
67;0.269144;0.908869;0.799242
68;0.278243;0.899919;0.814394
69;0.260548;0.909683;0.833333
70;0.265205;0.897478;0.833333
71;0.245901;0.914565;0.810606
72;0.219706;0.925142;0.829545
73;0.254806;0.908055;0.810606
74;0.241351;0.919447;0.844697
75;0.235131;0.921888;0.840909
76;0.221042;0.919447;0.825758
77;0.208345;0.931652;0.840909
78;0.216731;0.925956;0.840909
79;0.202890;0.922701;0.829545
80;0.206108;0.930838;0.837121
81;0.188004;0.930838;0.825758
82;0.201733;0.928397;0.791667
83;0.228750;0.922701;0.856061
84;0.186274;0.935720;0.829545
85;0.183236;0.935720;0.840909
86;0.173194;0.939788;0.848485
87;0.180826;0.940602;0.871212
88;0.190004;0.933279;0.848485
89;0.176584;0.938161;0.844697
90;0.152661;0.951180;0.825758
91;0.182176;0.938975;0.840909
92;0.168075;0.946298;0.833333
93;0.154426;0.950366;0.837121
94;0.165968;0.943043;0.875000
95;0.165343;0.941416;0.825758
96;0.149022;0.949552;0.878788
97;0.140831;0.959317;0.859848
98;0.158963;0.943857;0.852273
99;0.129097;0.961758;0.856061
100;0.151184;0.956876;0.856061
101;0.134241;0.954434;0.871212
102;0.129316;0.958503;0.856061
103;0.126099;0.960130;0.875000
104;0.145003;0.954434;0.871212
105;0.134422;0.959317;0.878788
106;0.141030;0.953621;0.852273
107;0.134026;0.958503;0.856061
108;0.127416;0.952807;0.893939
109;0.119803;0.962571;0.833333
110;0.107462;0.965012;0.875000
111;0.103511;0.959317;0.871212
112;0.130932;0.951993;0.882576
113;0.142510;0.958503;0.882576
114;0.114375;0.963385;0.856061
115;0.127717;0.959317;0.867424
116;0.109417;0.960130;0.852273
117;0.103377;0.971522;0.859848
118;0.090156;0.974776;0.882576
119;0.114419;0.964199;0.882576
120;0.092772;0.969894;0.867424
121;0.102299;0.967453;0.867424
122;0.098888;0.966640;0.875000
123;0.075989;0.977217;0.871212
124;0.115948;0.962571;0.886364
125;0.114437;0.960944;0.871212
126;0.070395;0.978845;0.882576
127;0.096887;0.973963;0.901515
128;0.107236;0.967453;0.886364
129;0.079965;0.974776;0.893939
130;0.099117;0.966640;0.890152
131;0.095268;0.968267;0.863636
132;0.086642;0.978031;0.901515
133;0.069097;0.982099;0.897727
134;0.084415;0.970708;0.878788
135;0.087488;0.970708;0.901515
136;0.067477;0.975590;0.890152
137;0.067121;0.980472;0.886364
138;0.082550;0.972335;0.886364
139;0.088156;0.977217;0.852273
140;0.085643;0.973149;0.878788
141;0.071483;0.976404;0.878788
142;0.057257;0.985354;0.882576
143;0.076896;0.976404;0.878788
144;0.085958;0.970708;0.875000
145;0.064040;0.983727;0.878788
146;0.069259;0.983727;0.867424
147;0.086009;0.974776;0.882576
148;0.079724;0.973963;0.886364
149;0.052605;0.978031;0.897727
150;0.068137;0.978845;0.886364
151;0.048409;0.982099;0.886364
152;0.064092;0.980472;0.893939
153;0.086007;0.973149;0.893939
154;0.081619;0.973149;0.897727
155;0.054104;0.984540;0.878788
156;0.053917;0.983727;0.890152
157;0.066401;0.981286;0.875000
158;0.067483;0.976404;0.882576
159;0.076843;0.974776;0.886364
160;0.044580;0.985354;0.878788
161;0.069646;0.975590;0.905303
162;0.052096;0.986981;0.893939
163;0.055173;0.980472;0.901515
164;0.056491;0.982099;0.897727
165;0.051990;0.982913;0.897727
166;0.043369;0.984540;0.878788
167;0.047228;0.981286;0.912879
168;0.050065;0.983727;0.912879
169;0.052820;0.984540;0.886364
170;0.053371;0.985354;0.867424
171;0.033610;0.991863;0.909091
172;0.045542;0.983727;0.886364
173;0.034631;0.988609;0.901515
174;0.056568;0.978845;0.878788
175;0.053592;0.985354;0.886364
176;0.064026;0.983727;0.878788
177;0.041854;0.981286;0.905303
178;0.049335;0.985354;0.890152
179;0.039386;0.989422;0.901515
180;0.061738;0.978031;0.905303
181;0.051376;0.989422;0.886364
182;0.071886;0.974776;0.897727
183;0.041122;0.987795;0.897727
184;0.052893;0.985354;0.916667
185;0.045849;0.983727;0.916667
186;0.034283;0.990236;0.890152
187;0.063185;0.978031;0.905303
188;0.028615;0.989422;0.901515
189;0.034299;0.991050;0.882576
190;0.054661;0.982913;0.882576
191;0.046056;0.989422;0.901515
192;0.048755;0.987795;0.897727
193;0.039716;0.989422;0.897727
194;0.038170;0.986981;0.920455
195;0.038188;0.983727;0.878788
196;0.036136;0.988609;0.893939
197;0.064926;0.982099;0.909091
198;0.051749;0.983727;0.909091
199;0.028179;0.991863;0.875000
200;0.066890;0.980472;0.890152
201;0.045688;0.985354;0.912879
202;0.034542;0.991050;0.912879
203;0.045371;0.986981;0.909091
204;0.029943;0.992677;0.893939
