id;train_loss;train_acc;val_acc
0;2.153913;0.031250;-1.000000
1;1.827127;0.343750;-1.000000
2;1.578195;0.250000;-1.000000
3;1.693992;0.437500;-1.000000
4;1.451622;0.531250;-1.000000
5;1.540518;0.468750;-1.000000
6;1.490416;0.562500;-1.000000
7;1.422740;0.531250;-1.000000
8;1.742666;0.343750;-1.000000
9;1.271907;0.437500;-1.000000
10;1.552153;0.406250;-1.000000
11;1.555826;0.437500;-1.000000
12;1.461636;0.500000;-1.000000
13;1.427337;0.531250;-1.000000
14;1.323621;0.562500;-1.000000
15;1.569661;0.468750;-1.000000
16;1.574283;0.562500;-1.000000
17;1.513994;0.468750;-1.000000
18;1.300805;0.468750;-1.000000
19;1.344897;0.500000;-1.000000
20;1.461865;0.468750;-1.000000
21;1.443084;0.500000;-1.000000
22;1.369489;0.500000;-1.000000
23;1.413237;0.406250;-1.000000
24;1.372455;0.437500;-1.000000
25;1.206482;0.625000;-1.000000
26;1.877395;0.250000;-1.000000
27;1.450375;0.500000;-1.000000
28;1.491610;0.437500;-1.000000
29;1.378183;0.468750;-1.000000
30;1.169369;0.625000;-1.000000
31;1.333006;0.531250;-1.000000
32;1.446853;0.468750;-1.000000
33;1.150202;0.656250;-1.000000
34;1.067343;0.781250;-1.000000
35;1.220111;0.593750;-1.000000
36;1.304796;0.656250;-1.000000
37;1.228269;0.625000;-1.000000
38;1.171541;0.692308;-1.000000
39;1.437532;0.468750;-1.000000
40;1.433928;0.468750;-1.000000
41;1.206806;0.625000;-1.000000
42;1.355879;0.562500;-1.000000
43;1.092812;0.687500;-1.000000
44;1.255745;0.562500;-1.000000
45;1.232478;0.656250;-1.000000
46;1.139926;0.625000;-1.000000
47;1.641875;0.343750;-1.000000
48;1.126053;0.562500;-1.000000
49;1.365386;0.437500;-1.000000
50;1.290421;0.593750;-1.000000
51;1.155759;0.687500;-1.000000
52;1.296779;0.562500;-1.000000
53;1.061209;0.656250;-1.000000
54;1.198585;0.656250;-1.000000
55;1.386730;0.593750;-1.000000
56;1.263215;0.562500;-1.000000
57;1.144758;0.625000;-1.000000
58;1.112861;0.718750;-1.000000
59;1.180773;0.562500;-1.000000
60;1.211059;0.531250;-1.000000
61;1.173089;0.593750;-1.000000
62;1.316634;0.531250;-1.000000
63;1.183511;0.500000;-1.000000
64;0.997760;0.718750;-1.000000
65;1.459196;0.468750;-1.000000
66;1.305180;0.562500;-1.000000
67;1.328771;0.437500;-1.000000
68;1.355618;0.437500;-1.000000
69;1.036611;0.656250;-1.000000
70;1.274979;0.562500;-1.000000
71;1.240136;0.562500;-1.000000
72;0.947785;0.687500;-1.000000
73;0.919169;0.750000;-1.000000
74;1.107503;0.656250;-1.000000
75;1.090762;0.687500;-1.000000
76;1.092938;0.656250;-1.000000
77;1.017296;0.692308;-1.000000
78;1.331900;0.562500;-1.000000
79;1.341608;0.375000;-1.000000
80;1.070687;0.718750;-1.000000
81;1.174086;0.625000;-1.000000
82;0.927296;0.750000;-1.000000
83;1.018582;0.625000;-1.000000
84;1.164196;0.625000;-1.000000
85;1.028095;0.625000;-1.000000
86;1.511148;0.312500;-1.000000
87;1.086136;0.531250;-1.000000
88;1.177206;0.531250;-1.000000
89;1.170064;0.593750;-1.000000
90;1.025880;0.656250;-1.000000
91;1.159932;0.625000;-1.000000
92;1.024877;0.656250;-1.000000
93;1.099098;0.656250;-1.000000
94;1.272042;0.625000;-1.000000
95;1.170077;0.562500;-1.000000
96;1.042430;0.656250;-1.000000
97;0.970866;0.750000;-1.000000
98;1.110436;0.625000;-1.000000
99;1.075077;0.562500;-1.000000
100;1.185910;0.531250;-1.000000
101;1.226616;0.531250;-1.000000
102;1.050726;0.468750;-1.000000
103;0.895177;0.687500;-1.000000
104;1.291006;0.562500;-1.000000
105;1.150548;0.687500;-1.000000
106;1.175409;0.531250;-1.000000
107;1.233709;0.531250;-1.000000
108;1.011400;0.687500;-1.000000
109;1.242334;0.562500;-1.000000
110;1.227315;0.531250;-1.000000
111;0.983751;0.656250;-1.000000
112;0.811894;0.781250;-1.000000
113;1.044112;0.656250;-1.000000
114;0.999458;0.718750;-1.000000
115;0.936897;0.687500;-1.000000
116;1.002690;0.615385;-1.000000
117;1.303009;0.562500;-1.000000
118;1.335009;0.500000;-1.000000
119;0.997421;0.687500;-1.000000
120;1.111054;0.718750;-1.000000
121;0.842683;0.718750;-1.000000
122;0.953885;0.750000;-1.000000
123;1.142538;0.593750;-1.000000
124;0.886469;0.718750;-1.000000
125;1.394209;0.406250;-1.000000
126;1.052690;0.687500;-1.000000
127;1.126958;0.562500;-1.000000
128;1.062421;0.625000;-1.000000
129;0.943416;0.718750;-1.000000
130;1.129637;0.593750;-1.000000
131;0.946621;0.656250;-1.000000
132;1.036058;0.687500;-1.000000
133;1.242028;0.656250;-1.000000
134;1.044469;0.625000;-1.000000
135;0.986595;0.656250;-1.000000
136;0.946127;0.718750;-1.000000
137;1.067027;0.625000;-1.000000
138;1.039242;0.531250;-1.000000
139;1.190555;0.531250;-1.000000
140;1.162183;0.562500;-1.000000
141;0.994996;0.531250;-1.000000
142;0.848517;0.656250;-1.000000
143;1.253694;0.593750;-1.000000
144;1.063188;0.625000;-1.000000
145;1.052261;0.625000;-1.000000
146;1.242869;0.593750;-1.000000
147;0.908481;0.718750;-1.000000
148;1.236264;0.562500;-1.000000
149;1.202545;0.562500;-1.000000
150;1.012951;0.625000;-1.000000
151;0.820469;0.781250;-1.000000
152;1.015456;0.625000;-1.000000
153;0.993392;0.687500;-1.000000
154;0.962014;0.687500;-1.000000
155;0.872954;0.692308;-1.000000
156;1.165653;0.562500;-1.000000
157;1.135417;0.500000;-1.000000
158;0.959132;0.718750;-1.000000
159;1.078355;0.687500;-1.000000
160;0.791019;0.781250;-1.000000
161;0.913499;0.718750;-1.000000
162;0.993788;0.625000;-1.000000
163;0.918818;0.687500;-1.000000
164;1.304650;0.500000;-1.000000
165;0.985467;0.656250;-1.000000
166;0.988248;0.593750;-1.000000
167;1.047607;0.562500;-1.000000
168;0.927604;0.687500;-1.000000
169;1.037996;0.625000;-1.000000
170;0.912483;0.687500;-1.000000
171;0.926073;0.687500;-1.000000
172;1.114224;0.656250;-1.000000
173;1.033741;0.593750;-1.000000
174;0.955072;0.625000;-1.000000
175;0.816165;0.781250;-1.000000
176;1.010072;0.593750;-1.000000
177;0.914667;0.718750;-1.000000
178;1.186703;0.500000;-1.000000
179;1.186600;0.562500;-1.000000
180;0.943028;0.562500;-1.000000
181;0.820074;0.750000;-1.000000
182;1.065484;0.625000;-1.000000
183;1.060050;0.656250;-1.000000
184;0.969523;0.750000;-1.000000
185;1.175124;0.562500;-1.000000
186;0.888673;0.718750;-1.000000
187;1.301010;0.500000;-1.000000
188;1.122477;0.593750;-1.000000
189;1.111341;0.593750;-1.000000
190;0.772614;0.781250;-1.000000
191;0.976689;0.625000;-1.000000
192;0.892667;0.750000;-1.000000
193;0.813979;0.781250;-1.000000
194;0.894432;0.692308;-1.000000
195;1.184438;0.562500;-1.000000
196;1.201176;0.531250;-1.000000
197;0.958942;0.750000;-1.000000
198;1.003252;0.750000;-1.000000
199;0.793947;0.750000;-1.000000
200;0.902176;0.687500;-1.000000
201;1.070405;0.625000;-1.000000
202;0.826986;0.718750;-1.000000
203;1.303868;0.468750;-1.000000
204;0.914005;0.718750;-1.000000
205;0.935616;0.656250;-1.000000
206;1.013030;0.625000;-1.000000
207;0.874590;0.687500;-1.000000
208;1.041878;0.593750;-1.000000
209;0.833090;0.750000;-1.000000
210;0.939850;0.687500;-1.000000
211;1.203432;0.656250;-1.000000
212;0.967006;0.656250;-1.000000
213;0.941048;0.656250;-1.000000
214;0.833104;0.781250;-1.000000
215;1.002026;0.593750;-1.000000
216;0.894517;0.718750;-1.000000
217;1.134768;0.593750;-1.000000
218;1.069208;0.593750;-1.000000
219;0.902017;0.625000;-1.000000
220;0.802892;0.687500;-1.000000
221;1.087492;0.625000;-1.000000
222;0.932744;0.656250;-1.000000
223;0.996478;0.687500;-1.000000
224;1.020504;0.656250;-1.000000
225;0.823852;0.687500;-1.000000
226;1.273005;0.562500;-1.000000
227;1.092649;0.562500;-1.000000
228;1.033290;0.656250;-1.000000
229;0.787460;0.750000;-1.000000
230;0.952806;0.656250;-1.000000
231;0.839613;0.750000;-1.000000
232;0.871697;0.750000;-1.000000
233;0.815368;0.692308;-1.000000
234;1.067201;0.562500;-1.000000
235;1.090872;0.562500;-1.000000
236;0.931176;0.718750;-1.000000
237;1.028347;0.656250;-1.000000
238;0.745546;0.781250;-1.000000
239;0.862646;0.718750;-1.000000
240;0.938301;0.625000;-1.000000
241;0.779405;0.750000;-1.000000
242;1.270698;0.500000;-1.000000
243;0.851098;0.750000;-1.000000
244;0.783476;0.718750;-1.000000
245;0.947286;0.687500;-1.000000
246;0.849881;0.656250;-1.000000
247;0.934179;0.718750;-1.000000
248;0.898179;0.687500;-1.000000
249;1.006036;0.656250;-1.000000
250;1.196099;0.656250;-1.000000
251;0.966458;0.625000;-1.000000
252;0.848780;0.656250;-1.000000
253;0.841853;0.750000;-1.000000
254;0.906043;0.593750;-1.000000
255;0.831867;0.718750;-1.000000
256;1.101833;0.562500;-1.000000
257;0.914740;0.656250;-1.000000
258;0.749693;0.687500;-1.000000
259;0.727926;0.718750;-1.000000
260;0.978260;0.625000;-1.000000
261;0.868962;0.687500;-1.000000
262;0.897772;0.781250;-1.000000
263;1.159045;0.656250;-1.000000
264;0.769469;0.718750;-1.000000
265;1.173670;0.531250;-1.000000
266;1.027229;0.562500;-1.000000
267;0.909096;0.750000;-1.000000
268;0.741430;0.781250;-1.000000
269;0.922883;0.656250;-1.000000
270;0.790589;0.750000;-1.000000
271;0.737649;0.750000;-1.000000
272;0.809124;0.769231;-1.000000
273;1.104513;0.593750;-1.000000
274;1.089911;0.531250;-1.000000
275;0.839887;0.750000;-1.000000
276;0.902745;0.750000;-1.000000
277;0.633165;0.781250;-1.000000
278;0.774102;0.750000;-1.000000
