id;train_loss;train_acc;val_acc
0;1.444948;0.485761;0.579545
1;1.216346;0.585842;0.625000
2;1.113351;0.606998;0.647727
3;1.062112;0.631408;0.655303
4;1.002826;0.646867;0.655303
5;0.976262;0.661513;0.659091
6;0.919354;0.675346;0.700758
7;0.874611;0.685924;0.685606
8;0.854276;0.696501;0.655303
9;0.823814;0.699756;0.685606
10;0.787077;0.716029;0.643939
11;0.736142;0.743694;0.712121
12;0.699636;0.748576;0.708333
13;0.693246;0.755085;0.708333
14;0.668824;0.745321;0.700758
15;0.622124;0.781937;0.674242
16;0.603724;0.781937;0.723485
17;0.586353;0.790887;0.727273
18;0.577474;0.794955;0.708333
19;0.542755;0.807974;0.704545
20;0.527315;0.809601;0.750000
21;0.479102;0.830757;0.719697
22;0.483462;0.830757;0.750000
23;0.429283;0.844589;0.780303
24;0.454455;0.849471;0.803030
25;0.440003;0.838080;0.765152
26;0.417917;0.859235;0.723485
27;0.394249;0.866558;0.810606
28;0.387304;0.872254;0.806818
29;0.388467;0.863303;0.772727
30;0.358156;0.877950;0.628788
31;0.346822;0.873068;0.772727
32;0.316007;0.899919;0.806818
33;0.317430;0.887714;0.780303
34;0.307222;0.895850;0.803030
35;0.300085;0.897478;0.742424
36;0.297490;0.890968;0.821970
37;0.262337;0.909683;0.821970
38;0.282988;0.897478;0.719697
39;0.248214;0.921074;0.829545
40;0.239877;0.924329;0.784091
41;0.240912;0.920260;0.837121
42;0.244700;0.925142;0.844697
43;0.235939;0.917819;0.848485
44;0.214175;0.925956;0.863636
45;0.198416;0.930024;0.856061
46;0.207875;0.927583;0.863636
47;0.208698;0.925956;0.844697
48;0.187856;0.934906;0.818182
49;0.182193;0.933279;0.856061
50;0.171892;0.936534;0.867424
51;0.180399;0.931652;0.852273
52;0.169917;0.942229;0.863636
53;0.157962;0.947925;0.856061
54;0.173441;0.931652;0.818182
55;0.139265;0.949552;0.871212
56;0.153814;0.953621;0.859848
57;0.137963;0.951180;0.875000
58;0.136380;0.952807;0.886364
59;0.134746;0.956876;0.825758
60;0.112748;0.956062;0.890152
61;0.128795;0.956062;0.878788
62;0.125578;0.955248;0.882576
63;0.129048;0.953621;0.852273
64;0.106259;0.965826;0.848485
65;0.124974;0.960944;0.875000
66;0.116631;0.960944;0.882576
67;0.109590;0.964199;0.863636
68;0.098916;0.962571;0.886364
69;0.108892;0.964199;0.886364
70;0.109508;0.961758;0.825758
71;0.106653;0.964199;0.882576
72;0.093592;0.969081;0.875000
73;0.085217;0.970708;0.901515
74;0.089880;0.971522;0.905303
75;0.099253;0.962571;0.875000
76;0.080953;0.974776;0.878788
77;0.095934;0.967453;0.901515
78;0.102261;0.961758;0.871212
79;0.088534;0.971522;0.909091
80;0.092120;0.969081;0.833333
81;0.074450;0.978031;0.897727
82;0.077335;0.969081;0.886364
83;0.067587;0.975590;0.890152
84;0.082848;0.971522;0.890152
85;0.063965;0.979658;0.912879
86;0.054965;0.978031;0.901515
87;0.064629;0.977217;0.901515
88;0.070706;0.973963;0.905303
89;0.058820;0.973963;0.901515
90;0.064715;0.979658;0.837121
91;0.066456;0.978031;0.867424
92;0.060928;0.979658;0.897727
93;0.053737;0.985354;0.905303
94;0.058773;0.982099;0.905303
95;0.056941;0.982099;0.905303
96;0.068001;0.978845;0.882576
97;0.056088;0.978845;0.886364
98;0.057358;0.980472;0.878788
99;0.054197;0.985354;0.909091
100;0.066474;0.982099;0.856061
101;0.049192;0.983727;0.867424
102;0.046191;0.986981;0.886364
103;0.041787;0.987795;0.901515
104;0.049785;0.983727;0.916667
105;0.046418;0.986168;0.905303
106;0.040823;0.984540;0.897727
107;0.051213;0.986168;0.916667
108;0.034741;0.991863;0.909091
109;0.044670;0.986168;0.912879
110;0.043054;0.986981;0.901515
111;0.036019;0.988609;0.893939
112;0.036250;0.990236;0.867424
113;0.047701;0.986168;0.886364
114;0.046383;0.982913;0.901515
115;0.038701;0.985354;0.886364
116;0.032093;0.989422;0.867424
117;0.030043;0.989422;0.886364
118;0.029769;0.992677;0.810606
119;0.052824;0.982913;0.909091
120;0.033234;0.988609;0.909091
121;0.025053;0.993491;0.905303
122;0.043322;0.984540;0.928030
123;0.045419;0.984540;0.901515
124;0.028389;0.991863;0.916667
125;0.043845;0.985354;0.893939
126;0.022824;0.994304;0.901515
127;0.023713;0.991863;0.840909
128;0.036916;0.987795;0.909091
129;0.025493;0.992677;0.893939
130;0.031977;0.988609;0.905303
131;0.024700;0.992677;0.882576
132;0.024882;0.991863;0.909091
133;0.034785;0.984540;0.875000
134;0.033859;0.986981;0.912879
135;0.021016;0.994304;0.916667
136;0.020753;0.995932;0.859848
137;0.030386;0.990236;0.882576
138;0.037125;0.988609;0.871212
139;0.017443;0.995118;0.905303
140;0.021579;0.992677;0.897727
141;0.031173;0.990236;0.871212
142;0.027037;0.990236;0.912879
143;0.034620;0.988609;0.905303
144;0.026313;0.992677;0.848485
145;0.025892;0.991863;0.909091
146;0.013405;0.997559;0.924242
147;0.018897;0.995118;0.912879
148;0.027192;0.990236;0.897727
149;0.025060;0.993491;0.909091
150;0.017788;0.994304;0.893939
151;0.031824;0.989422;0.916667
152;0.015814;0.995118;0.909091
153;0.018250;0.995118;0.897727
154;0.038142;0.990236;0.916667
155;0.021875;0.991863;0.890152
156;0.030764;0.987795;0.890152
157;0.016301;0.995932;0.863636
158;0.020021;0.993491;0.882576
159;0.027215;0.991863;0.924242
160;0.016178;0.995118;0.916667
161;0.019866;0.996745;0.920455
162;0.024340;0.993491;0.912879
163;0.012954;0.998373;0.897727
164;0.015259;0.993491;0.916667
165;0.020985;0.995932;0.909091
166;0.031773;0.989422;0.912879
167;0.014977;0.995932;0.871212
168;0.023157;0.991863;0.893939
169;0.013471;0.996745;0.912879
170;0.019858;0.994304;0.848485
171;0.016916;0.994304;0.871212
172;0.010117;0.997559;0.935606
173;0.020637;0.993491;0.901515
174;0.006401;0.998373;0.901515
175;0.021875;0.993491;0.931818
176;0.012749;0.996745;0.916667
177;0.027550;0.992677;0.905303
178;0.005654;1.000000;0.928030
179;0.013332;0.995932;0.916667
180;0.018946;0.991863;0.920455
181;0.014139;0.993491;0.916667
182;0.011294;0.995932;0.893939
183;0.021306;0.993491;0.920455
184;0.013648;0.995932;0.928030
185;0.010872;0.997559;0.909091
186;0.014148;0.993491;0.920455
187;0.016559;0.993491;0.909091
188;0.010883;0.995932;0.901515
189;0.021589;0.992677;0.916667
190;0.017695;0.995118;0.897727
191;0.015026;0.995932;0.893939
192;0.013083;0.995118;0.912879
193;0.016854;0.997559;0.909091
194;0.020540;0.994304;0.916667
195;0.012205;0.994304;0.901515
196;0.014883;0.992677;0.909091
197;0.015810;0.995118;0.893939
198;0.003618;1.000000;0.924242
199;0.016698;0.996745;0.916667
200;0.009430;0.996745;0.909091
201;0.015701;0.995932;0.909091
202;0.009939;0.996745;0.924242
203;0.009591;0.995118;0.920455
204;0.007327;0.998373;0.901515
205;0.008122;0.998373;0.920455
206;0.016429;0.994304;0.928030
207;0.009259;0.996745;0.931818
208;0.013601;0.995118;0.924242
209;0.015288;0.995118;0.924242
210;0.014089;0.995118;0.920455
211;0.006777;0.999186;0.840909
212;0.036812;0.991050;0.924242
213;0.004805;1.000000;0.924242
214;0.010369;0.994304;0.928030
215;0.025431;0.994304;0.924242
216;0.012054;0.995118;0.935606
217;0.004637;0.998373;0.924242
218;0.016883;0.994304;0.920455
219;0.019166;0.993491;0.931818
220;0.004906;0.998373;0.928030
221;0.005902;0.998373;0.878788
222;0.020033;0.995118;0.840909
223;0.009733;0.997559;0.924242
224;0.008116;0.997559;0.924242
225;0.010910;0.996745;0.905303
226;0.006985;0.997559;0.928030
227;0.002812;0.999186;0.916667
228;0.004914;0.999186;0.897727
229;0.004128;0.999186;0.905303
230;0.009795;0.995932;0.897727
231;0.005637;0.998373;0.924242
